timedate,value
03/11/21 21:19:41,0
03/11/21 21:19:45,0
03/11/21 21:19:53,74
03/11/21 21:20:00,75
03/11/21 21:20:08,76
03/11/21 21:20:15,78
03/11/21 21:20:22,79
03/11/21 21:20:29,78
03/11/21 21:20:33,78
03/11/21 21:20:39,76
03/11/21 21:20:43,76
03/11/21 21:20:51,77
03/11/21 21:20:53,79
03/11/21 21:21:03,80
03/11/21 21:21:10,81
03/11/21 21:21:14,81
03/11/21 21:21:17,83
03/11/21 21:21:24,85
03/11/21 21:21:26,89
03/11/21 21:21:32,90
03/11/21 21:21:36,92
03/11/21 21:21:44,91
03/11/21 21:21:52,93
03/11/21 21:21:59,94
03/11/21 21:22:05,93
03/11/21 21:22:10,94
03/11/21 21:22:17,95
03/11/21 21:22:24,96
03/11/21 21:22:27,96
03/11/21 21:22:30,98
03/11/21 21:22:32,100
03/11/21 21:22:41,101
03/11/21 21:22:43,103
03/11/21 21:22:46,103
03/11/21 21:22:56,102
03/11/21 21:22:59,100
03/11/21 21:23:02,98
03/11/21 21:23:07,95
03/11/21 21:23:12,92
03/11/21 21:23:19,90
03/11/21 21:23:21,88
03/11/21 21:23:23,87
03/11/21 21:23:27,87
03/11/21 21:23:33,85
03/11/21 21:23:43,82
03/11/21 21:23:49,81
03/11/21 21:23:53,78
03/11/21 21:24:01,76
03/11/21 21:24:05,73
03/11/21 21:24:07,70
03/11/21 21:24:16,71
03/11/21 21:24:18,72
03/11/21 21:24:20,74
03/11/21 21:24:27,73
03/11/21 21:24:35,75
03/11/21 21:24:37,77
03/11/21 21:24:39,80
03/11/21 21:24:46,78
03/11/21 21:24:48,76
03/11/21 21:24:53,76
03/11/21 21:24:59,77
03/11/21 21:25:01,80
03/11/21 21:25:05,82
03/11/21 21:25:08,80
03/11/21 21:25:14,82
03/11/21 21:25:16,85
03/11/21 21:25:20,83
03/11/21 21:25:24,83
03/11/21 21:25:26,85
03/11/21 21:25:29,88
03/11/21 21:25:34,91
03/11/21 21:25:36,94
03/11/21 21:25:41,88
03/11/21 21:25:43,88
03/11/21 21:25:45,85
03/11/21 21:25:51,87
03/11/21 21:25:53,89
03/11/21 21:25:55,86
03/11/21 21:26:01,86
03/11/21 21:26:08,85
