At,Heartrate
07-11-2021 00:12:36,80
07-11-2021 00:12:40,81
07-11-2021 00:12:41,82
07-11-2021 00:12:43,81
07-11-2021 00:12:49,81
07-11-2021 00:12:55,81
07-11-2021 00:13:01,80
07-11-2021 00:13:04,79
07-11-2021 00:13:14,86
07-11-2021 00:13:16,85
07-11-2021 00:13:22,85
07-11-2021 00:13:28,85
07-11-2021 00:13:33,89
07-11-2021 00:13:35,91
07-11-2021 00:13:37,90
07-11-2021 00:13:43,90
07-11-2021 00:13:49,89
07-11-2021 00:13:54,89
07-11-2021 00:14:00,89
07-11-2021 00:14:06,88
07-11-2021 00:14:08,87
07-11-2021 00:14:14,88
07-11-2021 00:14:16,87
07-11-2021 00:14:21,87
07-11-2021 00:14:27,87
07-11-2021 00:14:33,87
07-11-2021 00:14:40,87
07-11-2021 00:14:44,86
07-11-2021 00:14:46,85
07-11-2021 00:14:52,85
07-11-2021 00:14:58,85
07-11-2021 00:15:04,85
07-11-2021 00:15:09,85
07-11-2021 00:15:15,85
07-11-2021 00:15:21,85
07-11-2021 00:15:28,85
07-11-2021 00:15:32,85
07-11-2021 00:15:38,85
07-11-2021 00:15:44,85
07-11-2021 00:15:50,85
07-11-2021 00:15:55,85
07-11-2021 00:16:01,85
07-11-2021 00:16:07,85
07-11-2021 00:16:13,85
07-11-2021 00:16:18,85
07-11-2021 00:16:24,85
07-11-2021 00:16:30,85
07-11-2021 00:16:36,85
07-11-2021 00:16:42,85
07-11-2021 00:16:47,91
07-11-2021 00:16:49,87
07-11-2021 00:16:51,88
07-11-2021 00:16:53,87
07-11-2021 00:16:55,86
07-11-2021 00:16:57,84
07-11-2021 00:17:01,83
07-11-2021 00:17:04,84
07-11-2021 00:17:05,85
07-11-2021 00:17:06,84
07-11-2021 00:17:12,84
07-11-2021 00:17:18,84
07-11-2021 00:17:24,84
07-11-2021 00:17:29,84
07-11-2021 00:17:33,82
07-11-2021 00:17:35,81
07-11-2021 00:17:37,82
07-11-2021 00:17:39,81
07-11-2021 00:17:45,81
07-11-2021 00:17:52,81
07-11-2021 00:17:56,81
07-11-2021 00:18:02,74
07-11-2021 00:18:04,77
07-11-2021 00:18:06,76
07-11-2021 00:18:12,76
07-11-2021 00:18:18,76
07-11-2021 00:18:23,74
07-11-2021 00:18:25,75
07-11-2021 00:18:31,75
07-11-2021 00:18:37,75
07-11-2021 00:18:40,78
07-11-2021 00:18:41,77
07-11-2021 00:18:46,77
07-11-2021 00:18:52,77
07-11-2021 00:18:58,77
07-11-2021 00:19:04,77
07-11-2021 00:19:09,77
07-11-2021 00:19:15,77
07-11-2021 00:19:21,77
07-11-2021 00:19:28,77
07-11-2021 00:19:32,77
07-11-2021 00:19:38,77
07-11-2021 00:19:44,77
07-11-2021 00:19:50,83
07-11-2021 00:19:52,80
07-11-2021 00:19:53,79
07-11-2021 00:19:59,80
07-11-2021 00:20:05,72
07-11-2021 00:20:07,75
07-11-2021 00:20:11,69
07-11-2021 00:20:13,73
07-11-2021 00:20:17,70
07-11-2021 00:20:18,71
07-11-2021 00:20:24,71
07-11-2021 00:20:30,71
07-11-2021 00:20:35,71
07-11-2021 00:20:41,71
07-11-2021 00:20:46,71
07-11-2021 00:20:48,70
07-11-2021 00:20:54,70
07-11-2021 00:21:00,70
07-11-2021 00:21:05,70
07-11-2021 00:21:11,70
07-11-2021 00:21:17,70
07-11-2021 00:21:19,71
07-11-2021 00:21:25,70
07-11-2021 00:21:28,71
07-11-2021 00:21:30,72
07-11-2021 00:21:32,73
07-11-2021 00:21:34,74
07-11-2021 00:21:36,73
07-11-2021 00:21:38,74
07-11-2021 00:21:44,74
07-11-2021 00:21:50,67
07-11-2021 00:21:52,75
07-11-2021 00:21:54,72
07-11-2021 00:21:55,74
07-11-2021 00:21:57,75
07-11-2021 00:22:03,75
07-11-2021 00:22:07,74
07-11-2021 00:22:13,74
07-11-2021 00:22:19,74
07-11-2021 00:22:24,74
07-11-2021 00:22:30,75
07-11-2021 00:22:32,76
07-11-2021 00:22:36,77
07-11-2021 00:22:38,76
07-11-2021 00:22:40,78
07-11-2021 00:22:41,79
07-11-2021 00:22:43,78
07-11-2021 00:22:45,80
07-11-2021 00:22:47,79
07-11-2021 00:22:53,79
07-11-2021 00:22:59,79
07-11-2021 00:23:05,79
07-11-2021 00:23:10,79
07-11-2021 00:23:16,79
07-11-2021 00:23:22,79
07-11-2021 00:23:28,79
07-11-2021 00:23:33,80
07-11-2021 00:23:35,81
07-11-2021 00:23:41,80
07-11-2021 00:23:43,82
07-11-2021 00:23:47,83
07-11-2021 00:23:53,83
07-11-2021 00:23:56,77
07-11-2021 00:23:58,79
